hour,name,tso,direction,fmax,ram,shadow_price,binding_direction
2024-08-29 05:00:00+00:00,External Constraint BE_AL_import,ELIA,,1000.0,1000.0,4.262587819,OPPOSITE
2024-08-29 05:00:00+00:00,External Constraint DE_AL_export,,,1000.0,1000.0,2.830156275,OPPOSITE
2024-08-29 05:00:00+00:00,External Constraint DE_AL_import,,,1000.0,1000.0,,
2024-08-29 05:00:00+00:00,Equality Constraint BE_AL-DE_AL 01,,,0.0,0.0,,
2024-08-29 05:00:00+00:00,Equality Constraint BE_AL-DE_AL 02,,,0.0,0.0,,
2024-08-29 05:00:00+00:00,Equality Constraint Core hubs 01,,,0.0,0.0,,
2024-08-29 05:00:00+00:00,Equality Constraint Core hubs 02,,,0.0,0.0,,
2024-08-29 06:00:00+00:00,External Constraint BE_AL_export,ELIA,,1000.0,1000.0,,
2024-08-29 06:00:00+00:00,External Constraint BE_AL_import,ELIA,,1000.0,1000.0,,
2024-08-29 06:00:00+00:00,External Constraint DE_AL_export,,,1000.0,1000.0,,
2024-08-29 06:00:00+00:00,External Constraint DE_AL_import,,,1000.0,1000.0,,
2024-08-29 06:00:00+00:00,Equality Constraint BE_AL-DE_AL 01,,,0.0,0.0,,
2024-08-29 06:00:00+00:00,Equality Constraint BE_AL-DE_AL 02,,,0.0,0.0,,
2024-08-29 06:00:00+00:00,Equality Constraint Core hubs 01,,,0.0,0.0,,
2024-08-29 06:00:00+00:00,Equality Constraint Core hubs 02,,,0.0,0.0,,
2024-08-29 07:00:00+00:00,External Constraint BE_AL_export,ELIA,,1000.0,1000.0,,
2024-08-29 07:00:00+00:00,External Constraint BE_AL_import,ELIA,,1000.0,1000.0,,
2024-08-29 07:00:00+00:00,External Constraint DE_AL_export,,,1000.0,1000.0,,
2024-08-29 07:00:00+00:00,External Constraint DE_AL_import,,,1000.0,1000.0,0.020364165,OPPOSITE
2024-08-29 07:00:00+00:00,Equality Constraint BE_AL-DE_AL 01,,,0.0,0.0,,
2024-08-29 07:00:00+00:00,Equality Constraint BE_AL-DE_AL 02,,,0.0,0.0,,
2024-08-29 07:00:00+00:00,Equality Constraint Core hubs 01,,,0.0,0.0,,
2024-08-29 07:00:00+00:00,Equality Constraint Core hubs 02,,,0.0,0.0,,
2024-08-29 08:00:00+00:00,External Constraint BE_AL_export,ELIA,,1000.0,1000.0,0.030659522,OPPOSITE
2024-08-29 08:00:00+00:00,External Constraint BE_AL_import,ELIA,,1000.0,1000.0,,
2024-08-29 08:00:00+00:00,External Constraint DE_AL_export,,,1000.0,1000.0,,
2024-08-29 08:00:00+00:00,External Constraint DE_AL_import,,,1000.0,1000.0,,
2024-08-29 08:00:00+00:00,Equality Constraint BE_AL-DE_AL 01,,,0.0,0.0,,
2024-08-29 08:00:00+00:00,Equality Constraint BE_AL-DE_AL 02,,,0.0,0.0,,
2024-08-29 08:00:00+00:00,Equality Constraint Core hubs 01,,,0.0,0.0,,
2024-08-29 08:00:00+00:00,Equality Constraint Core hubs 02,,,0.0,0.0,,
2024-08-29 09:00:00+00:00,External Constraint BE_AL_export,ELIA,,1000.0,1000.0,,
2024-08-29 09:00:00+00:00,External Constraint BE_AL_import,ELIA,,1000.0,1000.0,,
2024-08-29 09:00:00+00:00,External Constraint DE_AL_export,,,1000.0,1000.0,,
2024-08-29 09:00:00+00:00,External Constraint DE_AL_import,,,1000.0,1000.0,0.05464608,OPPOSITE
2024-08-29 09:00:00+00:00,Equality Constraint BE_AL-DE_AL 01,,,0.0,0.0,,
2024-08-29 09:00:00+00:00,Equality Constraint BE_AL-DE_AL 02,,,0.0,0.0,,
2024-08-29 09:00:00+00:00,Equality Constraint Core hubs 01,,,0.0,0.0,,
2024-08-29 09:00:00+00:00,Equality Constraint Core hubs 02,,,0.0,0.0,,
2024-08-29 10:00:00+00:00,External Constraint BE_AL_export,ELIA,,1000.0,1000.0,,
2024-08-29 10:00:00+00:00,External Constraint BE_AL_import,ELIA,,1000.0,1000.0,,
2024-08-29 10:00:00+00:00,External Constraint DE_AL_export,,,1000.0,1000.0,,
2024-08-29 10:00:00+00:00,External Constraint DE_AL_import,,,1000.0,1000.0,0.351653382,OPPOSITE
2024-08-29 10:00:00+00:00,Equality Constraint BE_AL-DE_AL 01,,,0.0,0.0,,
2024-08-29 10:00:00+00:00,Equality Constraint BE_AL-DE_AL 02,,,0.0,0.0,,
2024-08-29 10:00:00+00:00,Equality Constraint Core hubs 01,,,0.0,0.0,,
2024-08-29 10:00:00+00:00,Equality Constraint Core hubs 02,,,0.0,0.0,,
2024-08-29 11:00:00+00:00,External Constraint BE_AL_export,ELIA,,1000.0,1000.0,,
2024-08-29 11:00:00+00:00,External Constraint BE_AL_import,ELIA,,1000.0,1000.0,,
2024-08-29 11:00:00+00:00,External Constraint DE_AL_export,,,1000.0,1000.0,,
2024-08-29 11:00:00+00:00,External Constraint DE_AL_import,,,1000.0,1000.0,0.795383428,OPPOSITE
2024-08-29 11:00:00+00:00,Equality Constraint BE_AL-DE_AL 01,,,0.0,0.0,,
2024-08-29 11:00:00+00:00,Equality Constraint BE_AL-DE_AL 02,,,0.0,0.0,,
2024-08-29 11:00:00+00:00,Equality Constraint Core hubs 01,,,0.0,0.0,,
2024-08-29 11:00:00+00:00,Equality Constraint Core hubs 02,,,0.0,0.0,,
2024-08-29 12:00:00+00:00,External Constraint BE_AL_export,ELIA,,1000.0,1000.0,0.664432481,OPPOSITE
2024-08-29 12:00:00+00:00,External Constraint BE_AL_import,ELIA,,1000.0,1000.0,,
2024-08-29 12:00:00+00:00,External Constraint DE_AL_export,,,1000.0,1000.0,,
2024-08-29 12:00:00+00:00,External Constraint DE_AL_import,,,1000.0,1000.0,,
2024-08-29 12:00:00+00:00,Equality Constraint BE_AL-DE_AL 01,,,0.0,0.0,,
2024-08-29 12:00:00+00:00,Equality Constraint BE_AL-DE_AL 02,,,0.0,0.0,,
2024-08-29 12:00:00+00:00,Equality Constraint Core hubs 01,,,0.0,0.0,,
2024-08-29 12:00:00+00:00,Equality Constraint Core hubs 02,,,0.0,0.0,,
2024-08-29 13:00:00+00:00,External Constraint BE_AL_export,ELIA,,1000.0,1000.0,,
2024-08-29 13:00:00+00:00,External Constraint BE_AL_import,ELIA,,1000.0,1000.0,,
2024-08-29 13:00:00+00:00,External Constraint DE_AL_export,,,1000.0,1000.0,,
2024-08-29 13:00:00+00:00,External Constraint DE_AL_import,,,1000.0,1000.0,0.293515924,OPPOSITE
2024-08-29 13:00:00+00:00,Equality Constraint BE_AL-DE_AL 01,,,0.0,0.0,,
